KtoID;KtoNr;Kontotext;KontogruppeId
1;1000;Anlagegter neu;Sonstige Ausgaben
42;4222;Honorare 20%;Umsatzerl”se
43;4221;Honorare 0%;Umsatzerl”se
44;4225;Einnahmen sonstige;Umsatzerl”se
45;4230;Gehalt Uni (Bundesdienst);Sonstige betriebl.Ertr„ge
46;4822;Mietertr„ge;Sonstige betriebl.Ertr„ge
47;4823;Versicherungsentsch„digung;Sonstige betriebl.Ertr„ge
48;4910;Privatanteile PKW;Sonstige betriebl.Ertr„ge
49;5310;Ordinationsberdarf, Labor, Apotheke;Materialaufwand und Aufwendungen f.bezogene Leistungen
50;5550;Reinigungsmaterial und Reinigungskosten;Materialaufwand und Aufwendungen f.bezogene Leistungen
51;6000;L”hne;Personalaufwand
52;6200;Geh„lter;Personalaufwand
53;6415;Dotierte Abfertigungsrckst. Angestellte;Personalaufwand
54;6560;Gesetzlicher Sozialaufwand;Personalaufwand
55;6660;Kommunalsteuer;Personalaufwand
56;6670;Dienstgeberbeitrag;Personalaufwand
57;6700;Freiwilliger Sozialaufwand;Personalaufwand
58;7060;Abschreibung geringw„rtiger Wirtschaftgter;Abschreibungen auf Immaterielle Verm”gensgegenst„nde u. Sachanlagen
59;4029;Praxismietvorschreibung;Sonstige Ausgaben
60;6705;Arbeitskleidung;Sonstige betriebliche Aufwendungen
61;7120;Grundsteuer und Hausgebhren;Sonstige betriebliche Aufwendungen
62;7160;Tourismusabgabe;Sonstige betriebliche Aufwendungen
63;7170;Umsatzsteuer Zahllast;Sonstige betriebliche Aufwendungen
64;7240;Instandhaltungen und Gartenpflege;Sonstige betriebliche Aufwendungen
65;7250;Laufende Betriebskosten;Sonstige betriebliche Aufwendungen
66;7260;PKW Aufwand;Sonstige betriebliche Aufwendungen
67;7285;Strom;Sonstige betriebliche Aufwendungen
68;7330;Reisekosten;Sonstige betriebliche Aufwendungen
69;7380;Telefon,Telex und Telefax;Sonstige betriebliche Aufwendungen
70;7390;Porto und sonst. Postgebhren;Sonstige betriebliche Aufwendungen
72;7600;Broaufwand;Sonstige betriebliche Aufwendungen
73;7620;Fachliteratur;Sonstige betriebliche Aufwendungen
74;7625;Wartezimmerlektre(Kinderb.Spiele);Sonstige betriebliche Aufwendungen
75;7680;Repr„sentationsaufwand;Sonstige betriebliche Aufwendungen
76;7700;Ordinationsversicherungen;Sonstige betriebliche Aufwendungen
77;7710;Krankenversicherung;Sonstige betriebliche Aufwendungen
78;7740;SVA;Sonstige betriebliche Aufwendungen
79;7745;Betriebsunterbrechung-Vers.;Sonstige betriebliche Aufwendungen
80;7770;Fortbildung;Sonstige betriebliche Aufwendungen
81;7775;Werbung;Sonstige betriebliche Aufwendungen
82;7780;rztkammerbeitr„ge;Sonstige betriebliche Aufwendungen
83;7786;Berufliche Mitgliedbeitr„ge;Sonstige betriebliche Aufwendungen
84;7790;Spesen d. Geldverkehrs;Zinsen und „hnliche Aufwendungen
85;8220;Zinsen f. Bankkredite;Zinsen und „hnliche Aufwendungen
86;8230;Zinsen f. Orsdination;Zinsen und „hnliche Aufwendungen
87;7310;Einkommensteuer bezahlt;Sonstige Ausgaben
88;7720;Sonderausgaben Lebensversicherung;Sonstige Ausgaben
89;7150;Kirchenbeitrag;Sonstige Ausgaben
90;7155;Spenden;Sonstige Ausgaben
91;400;Afa Ordinationsausstattung;Abschreibungen auf Immaterielle Verm”gensgegenst„nde u. Sachanlagen
93;7066;Afa PKW Citroen Xantia;Abschreibungen auf Immaterielle Verm”gensgegenst„nde u. Sachanlagen
97;7270;Leasing PKW;Sonstige betriebliche Aufwendungen
98;7171;Umsatzsteuuer bezahlt;Sonstige betriebl.Ertr„ge
99;7777;Gebhren fr Saalmiete Wien OGHM;Materialaufwand und Aufwendungen f.bezogene Leistungen
100;6680;Lohnsteuer bezahlt;Personalaufwand
101;7750;Seminaraufwendungen;Sonstige betriebliche Aufwendungen
102;7067;Ordinationswechsel Ausgaben;Sonstige betriebliche Aufwendungen
